Timestamp,EAR,MAR,Face_Detected,Drowsy_Alert,Yawn_Alert,Event
2025-12-10 14:46:18,0.2303,0.2651,True,False,False,periodic
2025-12-10 14:46:19,0.2054,0.2731,True,False,False,periodic
2025-12-10 14:46:20,0.0663,0.3063,True,False,False,periodic
2025-12-10 14:46:22,0.0542,0.2659,True,True,False,DROWSY_START
2025-12-10 14:46:22,0.1302,0.2834,True,True,False,periodic
2025-12-10 14:46:23,0.2567,0.2599,True,False,False,DROWSY_END
2025-12-10 14:46:23,0.2603,0.2588,True,False,False,periodic
2025-12-10 14:46:24,0.2476,0.2808,True,False,False,periodic
2025-12-10 14:46:25,0.1653,0.2754,True,False,False,periodic
2025-12-10 14:46:26,0.0223,0.2614,True,True,False,DROWSY_START
2025-12-10 14:46:27,0.2527,0.2735,True,False,False,DROWSY_END
2025-12-10 14:46:27,0.2433,0.2718,True,False,False,periodic
2025-12-10 14:46:28,0.2102,0.6056,True,False,False,periodic
2025-12-10 14:46:29,0.1069,0.8667,True,False,False,periodic
2025-12-10 14:46:30,0.1406,0.8472,True,True,False,DROWSY_START
2025-12-10 14:46:31,0.2315,0.8277,True,True,False,periodic
2025-12-10 14:46:31,0.265,0.8561,True,False,False,DROWSY_END
2025-12-10 14:46:32,0.2995,0.8809,True,False,False,periodic
2025-12-10 14:46:33,0.3117,0.7232,True,False,False,periodic
2025-12-10 14:46:34,0.2914,0.2471,True,False,False,periodic
2025-12-10 14:46:35,0.2429,0.6005,True,False,False,periodic
2025-12-10 14:46:36,0.2522,0.7697,True,False,False,periodic
2025-12-10 14:46:37,0.1951,0.7457,True,False,False,periodic
2025-12-10 14:46:38,0.2479,0.2553,True,False,False,periodic
2025-12-10 14:46:39,0.226,0.2618,True,True,False,DROWSY_START
2025-12-10 14:46:39,0.2513,0.3404,True,False,False,DROWSY_END
2025-12-10 14:46:40,0.1901,0.3211,True,False,False,periodic
2025-12-10 14:47:57,0.2239,0.2879,True,False,False,periodic
2025-12-10 14:47:58,0.2898,0.2544,True,False,False,periodic
2025-12-10 14:47:59,0.0452,0.2598,True,False,False,periodic
2025-12-10 14:48:00,0.0868,0.2477,True,False,False,periodic
2025-12-10 14:48:02,0.0467,0.2486,True,True,False,DROWSY_START
2025-12-10 14:48:02,0.2562,0.2805,True,False,False,DROWSY_END
2025-12-10 14:48:02,0.2905,0.2924,True,False,False,periodic
2025-12-10 14:48:03,0.2573,0.2732,True,False,False,periodic
2025-12-10 14:48:04,0.2242,0.4137,True,False,False,periodic
2025-12-10 14:48:05,0.2053,0.2988,True,False,False,periodic
2025-12-10 14:48:07,0.1699,0.2915,True,True,False,DROWSY_START
2025-12-10 14:48:07,0.2323,0.3609,True,True,False,periodic
2025-12-10 14:48:08,0.2609,0.338,True,False,False,DROWSY_END
2025-12-10 14:48:08,0.2469,0.2883,True,False,False,periodic
2025-12-10 14:48:09,0.2709,0.3208,True,False,False,periodic
2025-12-10 14:48:10,0.2322,0.2987,True,False,False,periodic
2025-12-10 14:48:11,0.2201,0.323,True,False,False,periodic
2025-12-10 14:48:13,0.2339,0.3352,True,True,False,DROWSY_START
2025-12-10 14:48:13,0.2085,0.3276,True,True,False,periodic
2025-12-10 14:48:14,0.2522,0.3271,True,False,False,DROWSY_END
2025-12-10 14:48:14,0.2332,0.3351,True,False,False,periodic
2025-12-10 14:48:15,0.2237,0.3468,True,False,False,periodic
2025-12-10 14:48:16,0.2573,0.3454,True,False,False,periodic
2025-12-10 14:48:17,0.2515,0.3279,True,False,False,periodic
2025-12-10 14:48:18,0.0706,0.331,True,False,False,periodic
2025-12-10 14:48:19,0.1211,0.3224,True,False,False,periodic
2025-12-10 14:48:21,0.0342,0.3231,True,True,False,DROWSY_START
2025-12-10 14:48:21,0.2082,0.3267,True,True,False,periodic
2025-12-10 14:48:21,0.2559,0.3345,True,False,False,DROWSY_END
2025-12-10 14:48:22,0.2563,0.3058,True,False,False,periodic
2025-12-10 14:48:23,0.2559,0.3125,True,False,False,periodic
2025-12-10 14:48:24,0.1813,0.8434,True,False,False,periodic
2025-12-10 14:48:25,0.1055,0.8385,True,False,False,periodic
2025-12-10 14:48:26,0.1209,0.8153,True,True,False,DROWSY_START
2025-12-10 14:48:27,0.0966,1.0063,True,True,False,periodic
2025-12-10 14:48:28,0.269,1.0635,True,False,False,DROWSY_END
2025-12-10 14:48:28,0.2953,0.9755,True,False,False,periodic
2025-12-10 14:48:29,0.2107,0.8841,True,False,False,periodic
2025-12-10 14:48:30,0.1743,0.7351,True,False,False,periodic
2025-12-10 14:48:32,0.2016,0.3039,True,True,False,DROWSY_START
2025-12-10 14:48:32,0.1871,0.3372,True,True,False,periodic
2025-12-10 14:48:33,0.0924,0.2492,True,True,False,periodic
2025-12-10 14:50:15,0.2986,0.2922,True,False,False,periodic
2025-12-10 14:50:16,0.3514,0.3137,True,False,False,periodic
2025-12-10 14:50:17,0.061,0.3004,True,False,False,periodic
2025-12-10 14:50:18,0.0544,0.2662,True,False,False,periodic
2025-12-10 14:50:19,0.0337,0.2839,True,True,False,DROWSY_START
2025-12-10 14:50:19,0.0578,0.2864,True,True,False,periodic
2025-12-10 14:50:20,0.264,0.3176,True,False,False,DROWSY_END
2025-12-10 14:50:20,0.2793,0.2868,True,False,False,periodic
2025-12-10 14:50:21,0.2305,0.2862,True,False,False,periodic
2025-12-10 14:50:22,0.1811,0.2858,True,False,False,periodic
2025-12-10 14:50:23,0.0522,0.3165,True,True,False,DROWSY_START
2025-12-10 14:50:23,0.0462,0.2829,True,True,False,periodic
2025-12-10 14:50:24,0.2097,0.3043,True,True,False,periodic
2025-12-10 14:50:25,0.2145,0.6118,True,True,False,periodic
2025-12-10 14:50:26,0.1802,0.7544,True,True,True,YAWN_START
2025-12-10 14:50:26,0.1802,0.7905,True,True,True,periodic
2025-12-10 14:50:27,0.2115,0.8143,True,True,True,periodic
2025-12-10 14:50:28,0.2654,0.8599,True,False,True,DROWSY_END
2025-12-10 14:50:28,0.2756,0.8978,True,False,True,periodic
2025-12-10 14:50:29,0.2707,0.6585,True,False,True,periodic
2025-12-10 14:50:30,0.2583,0.6417,True,False,True,periodic
2025-12-10 14:50:31,0.2406,0.7175,True,False,True,periodic
2025-12-11 15:36:36,0.2415,0.3163,True,False,False,periodic
2025-12-11 15:36:37,0.2473,0.2711,True,False,False,periodic
2025-12-11 15:36:38,0.1145,0.291,True,False,False,periodic
2025-12-11 15:36:39,0.0662,0.2937,True,True,False,DROWSY_START
2025-12-11 15:36:39,0.0781,0.2878,True,True,False,periodic
2025-12-11 15:36:40,0.1825,0.2908,True,True,False,periodic
2025-12-11 15:36:41,0.1334,0.3148,True,True,False,periodic
2025-12-11 15:36:42,0.1686,0.8525,True,True,False,periodic
2025-12-11 15:36:43,0.1478,0.9643,True,True,True,YAWN_START
2025-12-11 15:36:43,0.1485,0.9912,True,True,True,periodic
2025-12-11 15:36:44,0.1922,0.8287,True,True,True,periodic
2025-12-11 15:36:45,0.2666,0.7722,True,False,True,DROWSY_END
2025-12-11 15:36:45,0.259,0.5156,True,False,False,YAWN_END
2025-12-11 15:36:45,0.2704,0.4098,True,False,False,periodic
2025-12-11 15:36:46,0.0776,0.2506,True,False,False,periodic
2025-12-11 15:36:47,0.3079,0.574,True,False,False,periodic
2025-12-11 15:36:48,0.0648,0.7675,True,False,False,periodic
